Year,GDP growth (annual %),Military spending (% of GDP),R&D expenditure (% of GDP)
1960,,8.99312459,
1961,2.3,9.1560315,
1962,6.1,9.33167295,
1963,4.4,8.83189119,
1964,5.8,8.05128111,
1965,6.4,7.58724718,
1966,6.5,8.43530029,
1967,2.5,9.41779593,
1968,4.8,9.26845427,
1969,3.1,8.6332638,
1970,0.2166065,8.03274358,
1971,3.29272246,6.94306961,
1972,5.25550195,6.51975692,
1973,5.64567977,5.89387059,
1974,-0.5405502,5.9541112,
1975,-0.2056192,5.6226791,
1976,5.3880339,5.19107143,
1977,4.62418652,5.15561735,
1978,5.53520648,4.94308725,
1979,3.16598823,4.95199154,
1980,-0.2567757,5.15353747,
1981,2.53770127,5.64654126,
1982,-1.8030138,6.81405709,
1983,4.58379099,6.32114426,
1984,7.23645316,6.23641653,
1985,4.16957535,6.4532192,
1986,3.46265505,6.62652266,
1987,3.45462966,6.42027402,
1988,4.1769824,6.0712777,
1989,3.67223784,5.87120601,
1990,1.88596559,5.60517529,
1991,-0.1083129,4.8834294,
1992,3.52249718,4.97046681,
1993,2.75179586,4.6043503,
1994,4.02902273,4.21526468,
1995,2.68443074,3.86024579,
1996,3.77277269,3.55498221,2.45012999
1997,4.44712794,3.40556224,2.47713995
1998,4.48313335,3.2015585,2.4962101
1999,4.78842505,3.08567678,2.54362011
2000,4.07758576,3.11224215,2.61982989
2001,0.95553835,3.1238098,2.63715005
2002,1.70044732,3.4476181,2.54745007
2003,2.79560597,3.82716104,2.55014992
2004,3.84777169,4.01631274,2.48686004
2005,3.48354994,4.08923188,2.50193
2006,2.78453964,4.0413423,2.54544997
2007,2.0038583,4.07335051,2.61515999
2008,0.11358725,4.44659552,2.7448101
2009,-2.5765002,4.87576836,2.79181004
2010,2.69519258,4.90402301,2.71444011
2011,1.56440685,4.82244198,2.73802996
2012,2.28911339,4.46170997,2.67272997
2013,2.1178301,4.0237056,2.69591999
2014,2.52381981,3.67891817,2.70881009
2015,2.94555045,3.46449293,2.77327991
2016,1.81945147,3.40260246,2.83676004
2017,2.4576223,3.29772357,2.88356996
2018,2.96650507,3.30400062,2.99044991
2019,2.58382533,3.41215846,3.14703989
2020,-2.1630291,3.65051373,3.42466998
2021,6.05505293,3.41709395,3.48312998
2022,2.51237532,3.34325893,3.58623004
2023,2.88755601,3.36183649,
2024,,,
2025,,,
